FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
48483,,,,,,,Low,,,Low,,Low,,,,,,,,,,,,,0,9435.0,0.0
48485,,,,Low,,High,,High,,Low,,Low,,,,,,,,,,,,,1,135285.0,7.391802491037439
48491,,High,High,,,Low,,Low,,,,,,,,,,,,,,,,,6,905101.0,6.629094432555041
48493,,,,,,,,Low,,,,,High,,,,,,,,,,,,1,143505.0,6.968398313647608
48495,,,,,,,High,,,Low,Low,Low,,,High,,,,,,,,,,0,7784.0,0.0
48497,,,,,,,High,Low,Low,Low,Low,Low,Low,,High,,,,,,,,,,0,191603.0,0.0
48499,,,,,,,High,,,,,,,,,,,,,,,,,,1,67955.0,14.715620631300125
48501,,,,Low,,,High,,,Low,Low,Low,,,,,,,,,,,,,0,11272.0,0.0
48503,,,,,,,,,,High,,High,,,,,,,,,,,,,0,33593.0,0.0
49003,High,High,,,High,Low,,,,High,,,Low,,,,,,,,,,,,2,57577.0,34.736092536950515
49005,,Low,,,,,,Low,,,,,,,Low,,,,,,,,,,1,137634.0,7.265646569888254
49007,High,,,,,,,High,,,,,,,,,,,,,,,,,1,20393.0,49.03643407051439
49011,,High,High,High,,High,High,High,High,High,High,High,Low,,,,,Low,,,,,,,14,433570.0,32.290056968886226
49013,,Low,,High,,,High,,High,Low,Low,High,,,High,,,,,,,,,,0,22006.0,0.0
49015,High,,,Low,High,,,,,,,,,,,,,,,,,,,,0,22970.0,0.0
